#Transcript position	Transcript coverage profile
0.0	0.20373218216424693
1.0	0.07706992483945095
2.0	0.03344531842518451
3.0	0.04376354513704879
4.0	0.07946418635663813
5.0	0.09866643345333848
6.0	0.035159725563872424
7.0	0.04441420198170193
8.0	0.018886067228540346
9.0	8.375209380234506E-4
10.0	0.017955922009346453
11.0	0.034428184160877666
12.0	0.02766613902876717
13.0	0.05343256430212223
14.0	0.026603526931533786
15.0	0.05317737307743829
16.0	0.05985904882884037
17.0	0.040060554184648586
18.0	0.03161798146533307
19.0	0.01093435308585171
20.0	0.04728850668620764
21.0	0.037813768285003845
22.0	0.060188796083998485
23.0	0.08206275751767077
24.0	0.018784233326696445
25.0	0.017292396071447214
26.0	0.04335777293708245
27.0	0.02877702439597133
28.0	0.043311524155617634
29.0	0.038928082332713575
30.0	0.021337761324094137
31.0	0.02563047065989828
32.0	0.014782684898932237
33.0	0.028914598401490216
34.0	0.03244693006375448
35.0	0.07350750477165402
36.0	0.018271774306193263
37.0	0.05420142224060863
38.0	0.02803297718153952
39.0	0.06464728374556893
40.0	0.029420147342052193
41.0	0.04226506339949397
42.0	0.02718304429818049
43.0	0.03449777245639869
44.0	0.052384260824308956
45.0	0.024045703703203847
46.0	0.021794855394700694
47.0	0.029172892559697107
48.0	0.00926620439027842
49.0	0.0423637556273846
50.0	0.03203351211741358
51.0	0.042409016894111515
52.0	0.02485661298195432
53.0	0.06881390858074113
54.0	0.04412704102538851
55.0	0.05151875846729964
56.0	0.027382883039044965
57.0	0.022297782637055907
58.0	0.10551209226872421
59.0	0.06276764597925547
60.0	0.04631362990924506
61.0	0.06403715581142383
62.0	0.065213365841517
63.0	0.04895561540694715
64.0	0.04568071341415585
65.0	0.0627535044067259
66.0	0.06920147205596071
67.0	0.05124451881013625
68.0	0.05712696013860328
69.0	0.04662382165120435
70.0	0.01991789342279759
71.0	0.03881444716687291
72.0	0.053970354393304845
73.0	0.08722029524307469
74.0	0.04167388804901841
75.0	0.04599630085062771
76.0	0.055560021791660814
77.0	0.06228852737963049
78.0	0.014373605008040238
79.0	0.02577055297739863
80.0	0.03136193475387056
81.0	0.05788467530893161
82.0	0.06494145012735363
83.0	0.038739318614807415
84.0	0.0325669380250414
85.0	0.06043025627245401
86.0	0.039184569296840874
87.0	0.0258479395552835
88.0	0.02789073181672741
89.0	0.05152088267155053
90.0	0.0564017744590353
91.0	0.08187924641787968
92.0	0.04794404417058663
93.0	0.029848259094394307
94.0	0.01894340937632273
95.0	0.06327574633635553
96.0	0.08920997872558936
97.0	0.09851518959646977
98.0	0.043044734698387745
99.0	0.010335374444458513
